video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/M5uTM3Kiz-s,/@studyhall,Study Hall ,What Happened at Standing Rock?,2.9K,1 year,In 2016 thousands of people camped in freezing temperature for months to protest a pipeline that would potentially contaminate ...,2026-01-20 19:16:36.924763
/watch?v=_rt8v9Qr0ZA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ajplus,AJ+,How Standing Rock Is A Blueprint For Protesters,4.7K,9 years,AJ+ presenter Ahmed Shihab-Eldin gives his opinion on why those opposing the Dakota Access Pipeline are a model for other ...,2026-01-20 19:16:43.822575
/watch?v=OGJXnfMlwH8&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@KXNewsND,KX News,Standing Rock on DAPL,144,5 years,Standing Rock on DAPL.,2026-01-20 19:16:43.823536
/watch?v=Xf1OESNrsQE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@AssociatedPress,Associated Press,Deadline Looms for Standing Rock Protesters,4.3K,9 years,Authorities in North Dakota have said they'll move away from a key bridge near the main Dakota Access oil pipeline protest camp ...,2026-01-20 19:16:43.824708
/watch?v=xulmHwUJCdY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Protesters Endure Blizzard To Remain At Standing Rock | NBC News,7.2K,9 years,Protesters vow to stay in the camp near Cannon Ball to continue their fight against the Dakota Pipeline despite the frigid ...,2026-01-20 19:16:43.826613
/watch?v=JbJOownDnMs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PBSNewsHour,PBS NewsHour,"Despite impending deadline, Standing Rock protesters vow to stay",7.4K,9 years,"As temperatures in North Dakota plunge into the single digits, the standoff over an oil pipeline near a Native American reservation ...",2026-01-20 19:16:43.827101
/watch?v=p_bv88cpJdc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Standing Rock: Protests over Dakota pipeline slowly fading,5.2K,8 years,Protesters are standing their ground at the site of a proposed oil pipeline in the US Midwest. But their numbers are shrinking.,2026-01-20 19:16:43.827747
/watch?v=AZvm9Y-KQyI&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Historic decision at Standing Rock,1.5K,9 years,The CBC's Karen Pauls reports from South Dakota as construction on the Dakota Access Pipeline is halted Click here for the full ...,2026-01-20 19:16:43.828237
/watch?v=Pzre-EptsU4&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@abc10news,ABC 10 News,Local vets will be human shields at standing rock,5.7K,9 years,"Say they're going to protect the protesters ◂ San Diego's News Source - 10News, KGTV, delivers the latest breaking news, ...",2026-01-20 19:16:43.828702
/watch?v=mD3VvWKItGU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,"As Thousands of Vets Descend on Standing Rock, U.S. Army Backs Down and Halts Pipeline Construction",25K,9 years,http://democracynow.org - The announcement from the U.S. Army Corps of Engineers that it would deny a permit to Energy Party ...,2026-01-20 19:16:43.829177
